X,Y,Z,G_x,G_y,G_z,formation
593446.2407631081,7005506.028092224,738.1473388671875,-0.1631759111665348,0.0593911746138847,0.984807753012208,sill_diabasio
593445.0756002414,7005503.385960397,737.588134765625,-0.0522642316338267,0.0905243046083364,0.9945218953682732,sill_diabasio
593444.5061673297,7005503.887604277,738.076171875,-0.0404882188628362,0.1511040899040733,0.9876883405951378,sill_diabasio
593441.2492073305,7005504.774924238,737.2877197265625,-0.1093816549466149,0.2345697160098045,0.9659258262890684,sill_diabasio
593439.425896295,7005504.958058574,737.1796875,-0.0589632222509631,0.1814701384205947,0.981627183447664,sill_diabasio
593435.6481846501,7005505.431651965,736.5628662109375,-0.2079116908177593,-3.8192757999792466e-17,0.9781476007338056,sill_diabasio
593434.8110040334,7005506.1989447605,736.948974609375,-0.1905474982798665,-0.009986171232787,0.981627183447664,sill_diabasio
593469.651988341,7005496.195423735,736.366455078125,-0.2578341604962995,0.0225575661131497,0.9659258262890684,sill_diabasio
593468.9653539651,7005496.937221106,737.9595947265625,-0.0593911746138846,0.1631759111665348,0.984807753012208,sill_diabasio
593464.5293022906,7005498.35512772,738.155029296875,-0.0609346717025737,0.1055419473313872,0.992546151641322,sill_diabasio
593463.2458637417,7005496.737447237,737.228515625,-0.1988269387493394,0.0607874954761748,0.9781476007338056,sill_diabasio
593462.4099324595,7005495.949446725,736.0953369140625,-0.3298794368782482,0.1400255133402222,0.9335804264972016,sill_diabasio
593353.2633137743,7005347.304771434,721.46630859375,0.2389434356184659,0.0378449223196526,0.9702957262759964,sill_diabasio
593361.269395416,7005339.932612873,722.8326416015625,0.2332571768564467,-0.250137697849547,0.9396926207859084,sill_diabasio
593335.5546026939,7005362.873740852,727.9619140625,-0.0305611649976118,0.0999610665563644,0.9945218953682732,sill_diabasio
593354.8279586011,7005478.020140097,740.1297607421875,0.0,0.9986295347545738,0.0523359562429439,encaixante_serra_alta
593354.7467807145,7005475.9171239175,734.070556640625,-0.2240950476675067,0.970662292518362,0.0871557427476581,encaixante_serra_alta
593354.2030619583,7005477.338006437,734.167724609375,0.9943704248665338,0.1045125430764028,0.0174524064372836,encaixante_serra_alta
593356.0331115421,7005476.199950803,735.2158203125,-0.3265734354382901,0.640936455210096,0.6946583704589973,encaixante_serra_alta
593360.4973546363,7005486.241578694,739.6046142578125,-0.9632873407929414,0.2047530450592065,0.1736481776669304,encaixante_serra_alta
593359.3794569663,7005487.264641281,735.1220703125,-0.2621467033841226,0.9142141997870687,0.3090169943749474,encaixante_serra_alta
593359.9972916718,7005485.013497113,733.59521484375,-0.2561866988948615,0.7884615856319885,0.5591929034707468,encaixante_serra_alta
593360.0279406889,7005485.001082607,733.56884765625,-0.3500872234592925,0.5390870496840914,0.766044443118978,encaixante_serra_alta
593410.4000548037,7006081.584537754,751.56396484375,-0.0666827116173285,0.2674497483512504,0.9612616959383188,encaixante_teresina
593412.2497425071,7006083.192449279,752.5301513671875,0.0269326056663974,0.0828900370727043,0.9961946980917455,encaixante_teresina
593009.3077312204,7006369.950925622,734.089111328125,-0.0942735279424383,0.2590143892741739,0.9612616959383188,sill_diabasio
593008.3432932354,7006372.418423459,732.917724609375,-0.0298090196262092,0.34071865342161,0.9396926207859084,sill_diabasio
593008.0115829166,7006372.355536806,733.6494140625,0.1077000950921755,0.3755948672274924,0.9205048534524404,sill_diabasio
593004.9865622815,7006371.928320534,732.715087890625,-0.0593911746138847,0.3368240888334651,0.9396926207859084,sill_diabasio
593005.1806509676,7006371.356383331,732.5166015625,-0.0557871512546731,0.2870000130267722,0.9563047559630354,sill_diabasio
593006.8815942595,7006370.571612379,732.0140380859375,-0.1583155873460376,0.3395088726881133,0.9271838545667874,sill_diabasio
593007.7598165497,7006370.509683726,732.205322265625,-0.1914737964294635,0.1982769204992738,0.9612616959383188,sill_diabasio
593009.0817696874,7006363.713756269,733.2841796875,-0.1032555708807757,0.2555665060290024,0.9612616959383188,sill_diabasio
593008.8209016032,7006362.776326625,733.059814453125,-0.1993970231495834,0.2138271284976807,0.9563047559630354,sill_diabasio
593010.6496699881,7006360.112965434,732.3797607421875,-0.3511868119899141,0.1712852528820333,0.9205048534524404,sill_diabasio
593013.0616892719,7006357.464091294,732.9208984375,-0.3287708630182991,0.0942735279424384,0.9396926207859084,sill_diabasio
593017.8221791412,7006356.017356722,732.43310546875,-0.3205128486296295,0.2504120817450529,0.9135454576426008,sill_diabasio
593016.9476905814,7006354.183896657,731.936279296875,-0.3596360818745141,0.3017705036589468,0.882947592858927,sill_diabasio
593020.165492465,7006351.601022576,731.9541015625,-0.3449951093546564,0.1834371535209539,0.9205048534524404,sill_diabasio
593022.1140452453,7006351.039278321,731.68896484375,-0.2783869514867492,0.2506607369984153,0.9271838545667874,sill_diabasio
593022.3260944004,7006355.274845649,731.93798828125,-0.3158973888813427,0.0787620650731606,0.9455185755993168,sill_diabasio
593026.8183260206,7006349.769091293,731.19140625,-0.2401513092000618,0.1944706957410873,0.9510565162951536,sill_diabasio
593023.0159530209,7006348.565598507,730.777587890625,-0.3885729807284853,0.3146601955249187,0.8660254037844387,sill_diabasio
593024.963311355,7006352.103648587,731.97998046875,-0.3556967291927792,0.0436740667085348,0.9335804264972016,sill_diabasio
593027.6125749552,7006353.611500792,732.033447265625,-0.4330127018922192,0.25,0.8660254037844387,sill_diabasio
593031.0044366665,7006351.362975631,731.8564453125,-0.3253698271340185,0.0113621647329169,0.9455185755993168,sill_diabasio
593033.2295977562,7006349.724650513,731.675537109375,-0.2685727882446404,0.062004913807589,0.9612616959383188,sill_diabasio
593034.0362836423,7006348.1810822375,733.0322265625,-0.3366941758666344,0.164216721950483,0.9271838545667874,sill_diabasio
593033.3527812777,7006345.759092353,732.4613037109375,-0.1965843657524534,0.0676894254696048,0.9781476007338056,sill_diabasio
593031.7123432903,7006340.287947102,732.0830078125,-0.2246427667419647,0.0117730285369446,0.9743700647852352,sill_diabasio
593031.4646986825,7006339.128869163,731.2490234375,-0.276097453556553,0.1725248368676988,0.9455185755993168,sill_diabasio
593028.2302344207,7006335.480771832,729.544921875,-0.3763751818671241,0.2538682656974925,0.8910065241883679,sill_diabasio
593026.251390798,7006332.774877716,728.83837890625,-0.3141377914751638,0.3488853625931203,0.882947592858927,sill_diabasio
593025.7151624075,7006332.0167398695,728.65576171875,-0.4213893920128942,0.120831463767407,0.898794046299167,sill_diabasio
593031.7823768059,7006328.788971032,728.721435546875,-0.2260007226993481,0.2107490833951564,0.9510565162951536,sill_diabasio
593033.4573857683,7006327.452729411,727.8319091796875,-0.2511310133418102,0.0626139940084976,0.9659258262890684,sill_diabasio
593034.7048232595,7006325.965695782,726.7265625,-0.2194909984482169,0.1371531979502684,0.9659258262890684,sill_diabasio
593039.7341678255,7006322.936188595,725.4598388671875,-0.2600102890900472,0.1959318064122032,0.9455185755993168,sill_diabasio
593045.3584510367,7006321.090862999,724.06103515625,-0.1560533985457615,-0.0109123166532551,0.9876883405951378,sill_diabasio
593049.3204474766,7006321.224179661,723.4417724609375,-0.172322505153873,-0.1445957505181598,0.9743700647852352,sill_diabasio
593049.9707947761,7006321.991435921,721.989990234375,-0.1047766483265511,-0.3427089745348917,0.9335804264972016,sill_diabasio
593053.0579237518,7006320.773167911,720.995361328125,-0.1718943330829419,-0.3686285868927443,0.9135454576426008,sill_diabasio
593052.8902054596,7006320.757801471,720.9710693359375,-0.1372565046369823,-0.1325470657971889,0.981627183447664,sill_diabasio
593049.7482082295,7006325.12692206,721.1942138671875,-0.1783016086662782,-0.3655724732082385,0.9135454576426008,sill_diabasio
593043.8312324584,7006328.286007607,723.408447265625,-0.3897793270983517,-0.0272560257054745,0.9205048534524404,sill_diabasio
593040.7580285002,7006331.772843378,726.157470703125,-0.1384106961510843,-0.0145475503715496,0.9902680687415704,sill_diabasio
593041.1804094651,7006334.554582079,728.252685546875,-0.1704577715540083,-0.0331336343295947,0.984807753012208,sill_diabasio
593043.8345437975,7006338.180414304,728.38720703125,-0.3231414188034184,-0.0396767772173192,0.9455185755993168,sill_diabasio
