X,Y,Z,formation
589546.9194,7010325.1231,857.0,sill_diabasio
589545.0228000004,7010323.475,795.0,encaixante_teresina
589611.2174000004,7010576.229,826.0,sill_diabasio
589771.1435000002,7010521.6893,800.0,encaixante_teresina
589976.3772,7010559.7608,682.0,encaixante_teresina
592876.6315000001,7006267.4192,741.0,sill_diabasio
592969.8046000004,7006327.3198,678.0,sill_diabasio
593732.9505000003,7010744.971,660.0,encaixante_irati
592462.0362,7009343.1645,693.0,encaixante_teresina
593866.8735999996,7015561.4334,879.0,sill_diabasio
593499.2713000001,7015722.3666,869.0,sill_diabasio
601460.3662,7001295.8688,400.0,sill_diabasio
602915.3287000004,7003843.7341,510.0,sill_diabasio
598337.7543000001,6996492.2749,550.0,sill_diabasio
589484.6316999998,7001143.7,626.2000122070312,sill_diabasio
593876.0,6999520.0,720.0,encaixante_palermo
588186.0,7007601.0,390.0,encaixante_palermo
589245.0,7010127.0,650.0,dique
587998.0,7007503.0,398.0,dique
604093.0,7030159.0,820.0,sill_diabasio
589451.0,7001101.0,640.0,sill_diabasio
584478.0,7010296.0,482.0,sill_diabasio
596465.0,7003414.0,400.0,sill_diabasio
594518.0,7003542.0,495.0,encaixante_rio_bonito
589442.0,7007022.0,430.0,encaixante_rio_bonito
603733.0,6993858.0,380.0,dique
598377.0,6993965.0,615.0,encaixante_palermo
599771.0,6994960.0,530.0,sill_diabasio
600848.0,6998060.0,420.0,dique
599802.0,6999865.0,365.0,encaixante_rio_bonito
592297.0,7009107.0,690.0,encaixante_teresina
587071.0,7016681.0,720.0,dique
587454.0,7016623.0,740.0,encaixante_teresina
588240.0,7015885.0,865.0,dique
592742.0,7006029.0,700.0,sill_diabasio
593370.0,7005169.0,730.0,sill_diabasio
592431.2879999997,7004651.9369,478.3999938964844,encaixante_palermo
592042.3727000002,7005932.0905,540.0,encaixante_irati
593446.2407631081,7005506.028092224,738.1473388671875,sill_diabasio
593445.0756002414,7005503.385960397,737.588134765625,sill_diabasio
593444.5061673297,7005503.887604277,738.076171875,sill_diabasio
593441.2492073305,7005504.774924238,737.2877197265625,sill_diabasio
593439.425896295,7005504.958058574,737.1796875,sill_diabasio
593435.6481846501,7005505.431651965,736.5628662109375,sill_diabasio
593434.8110040334,7005506.1989447605,736.948974609375,sill_diabasio
